id,nombre,categoria,tipo,referencia,precio,,coste,activo
581,MASKING TAPE 3M #2308 18mmX55m,81,product,0565-0024,32.06,1.603,30.457,True
582,MASKING TAPE 3M #2308 48mmX55m,81,product,0565-0027,84.7,4.235,80.465,True
583,MASKING TAPE 3M #233+     6X55,81,product,0565-0028,22.67,1.1335,21.5365,True
584,MASKING TAPE 3M #233+    12X55,81,product,0565-0029,29.29,1.4645,27.8255,True
585,MASKING TAPE 3M #233+    15X50,81,product,0565-0067,30.87,1.5435,29.3265,True
586,MASKING TAPE 3M #233+    18X55,81,product,0565-0030,37.99,1.8995,36.0905,True
587,MASKING TAPE 3M #233+    24X55,81,product,0565-0031,58.44,2.922,55.518,True
588,MASKING TAPE 3M #233+    36X55,81,product,0565-0032,87.71,4.3855,83.3245,True
589,MASKING TAPE 3M #233+    48X55,81,product,0565-0033,117,5.85,111.15,True
590,MASKING TAPE 3M TR.#6349 50X10,82,product,0565-0034,207.52,10.376,197.144,True
591,ALMOHADILLA HP-HP U.FINA  7448,81,product,0036-0020,9.52,0.476,9.044,True
592,ALMOHADILLA IND.USO GRL.  7447,81,product,0036-0016,10,0.5,9.5,True
593,ESPONJA SUPER ABSORBENTE C/2pz,82,product,0994-0001,19.51,0.9755,18.5345,True
594,FIBRA 3M ESPON.70x114mm. c/2pz,82,product,0354-0028,11,0.55,10.45,True
595,FIBRA SCOTCH BRITE BLANCA P-66,82,product,0354-0013,9.54,0.477,9.063,True
596,FIBRA SCOTCH BRITE ESPONJ P-0,82,product,0354-0041,13.55,0.6775,12.8725,True
597,FIBRA SCOTCH BRITE ESPONJ P-94,82,product,0354-0014,12.71,0.6355,12.0745,True
598,FIBRA SCOTCH BRITE GDE.A/LIMON,82,product,0354-0015,12.91,0.6455,12.2645,True
599,FIBRA SCOTCH BRITE GDE.ES.A/LI,82,product,0354-0016,20.84,1.042,19.798,True
600,FIBRA SCOTCH BRITE GIG.A/LIMON,82,product,0354-0017,21.57,1.0785,20.4915,True
601,FIBRA SCOTCH BRITE NEGRA  P-76,82,product,0354-0018,14,0.7,13.3,True
602,FIBRA SCOTCH BRITE P-46,82,product,0354-0039,8.85,0.4425,8.4075,True
603,FIBRA SCOTCH BRITE P-94 + 2000,82,product,0354-0038,16.68,0.834,15.846,True
604,FIBRA SCOTCH BRITE VERDE  P-96,82,product,0354-0019,10.85,0.5425,10.3075,True
605,FIBRA SCOTCH BRITE VINO   P-96,82,product,0354-0021,10.94,0.547,10.393,True
606,ARNES P/RESPIRADOR s6000  6281,82,product,1205-0002,181.45,9.0725,172.3775,True
607,CARTUCHO MIXTO 3M    3311LA-55,82,product,0563-0019,118.61,5.9305,112.6795,True
608,CARTUCHO P/AMONIACO LAM.  6004,82,product,0563-0013,118.6,5.93,112.67,True
609,CARTUCHO P/GASES E-CARE   6002,82,product,0563-0012,109.55,5.4775,104.0725,True
610,CARTUCHO P/PARTIC. P100  7093C,82,product,0563-0014,115.83,5.7915,110.0385,True
611,CARTUCHO P/VAP.ORG.ACIDOS 6003,82,product,0563-0011,107.32,5.366,101.954,True
612,CARTUCHO P/VAPORES ORG.  R6001,82,product,0563-0001,97.29,4.8645,92.4255,True
613,CHALECO 3M AMARILLO LIMON,82,product,0995-0003,247.81,12.3905,235.4195,True
614,CHALECO 3M DE MALLA AMAR.LIMON,82,product,0995-0009,126.24,6.312,119.928,True
615,CHALECO 3M DE MALLA ROJO-NJA.,82,product,0995-0004,126.24,6.312,119.928,True
616,FILTRO 3M  N95     R5N11,82,product,0563-0008,27.46,1.373,26.087,True
